conceptId,conceptName,vocabularyId,conceptSetName,target
312327,Acute myocardial infarction,SNOMED,doi,Disease of interest
438172,Atrial septal defect due to and following acute myocardial infarction,SNOMED,complications,Disease of interest
321318,Angina pectoris,SNOMED,alternativeDiagnosis,Disease of interest
440417,Pulmonary embolism,SNOMED,alternativeDiagnosis,Disease of interest
317585,Aortic aneurysm,SNOMED,alternativeDiagnosis,Disease of interest
314383,Myocarditis,SNOMED,alternativeDiagnosis,Disease of interest
318800,Gastroesophageal reflux disease,SNOMED,alternativeDiagnosis,Disease of interest
30753,Esophagitis,SNOMED,alternativeDiagnosis,Disease of interest
134681,Diffuse spasm of esophagus,SNOMED,alternativeDiagnosis,Disease of interest
253796,Pneumothorax,SNOMED,alternativeDiagnosis,Disease of interest
4057432,Mediastinal emphysema,SNOMED,alternativeDiagnosis,Disease of interest
4192640,Pancreatitis,SNOMED,alternativeDiagnosis,Disease of interest
4016837,Chondrocostal joint sprain,SNOMED,alternativeDiagnosis,Disease of interest
4021498,Panic attack,SNOMED,alternativeDiagnosis,Disease of interest
255848,Pneumonia,SNOMED,alternativeDiagnosis,Disease of interest
40479589,Takotsubo cardiomyopathy,SNOMED,alternativeDiagnosis,Disease of interest
4127089,Coronary artery spasm,SNOMED,alternativeDiagnosis,Disease of interest
312927,Acute cor pulmonale,SNOMED,alternativeDiagnosis,Disease of interest
40480461,Infarction of lung due to iatrogenic pulmonary embolism,SNOMED,alternativeDiagnosis,Disease of interest
46272492,Dissection of artery,SNOMED,alternativeDiagnosis,Disease of interest
258449,Hemopericardium,SNOMED,alternativeDiagnosis,Disease of interest
4138837,Pericarditis,SNOMED,alternativeDiagnosis,Disease of interest
318450,Cardiac tamponade,SNOMED,alternativeDiagnosis,Disease of interest
4091509,Esophageal reflux finding,SNOMED,alternativeDiagnosis,Disease of interest
201061,Diaphragmatic hernia,SNOMED,alternativeDiagnosis,Disease of interest
201340,Gastritis,SNOMED,alternativeDiagnosis,Disease of interest
4027663,Peptic ulcer,SNOMED,alternativeDiagnosis,Disease of interest
318186,Achalasia of esophagus,SNOMED,alternativeDiagnosis,Disease of interest
43020567,Air leaking from lung,SNOMED,alternativeDiagnosis,Disease of interest
4238808,Empyema of pleura,SNOMED,alternativeDiagnosis,Disease of interest
4135466,Hemothorax,SNOMED,alternativeDiagnosis,Disease of interest
441607,Abscess of mediastinum,SNOMED,alternativeDiagnosis,Disease of interest
4189294,Inflammatory disorder of mediastinum,SNOMED,alternativeDiagnosis,Disease of interest
4049458,Acute necrosis of pancreas,SNOMED,alternativeDiagnosis,Disease of interest
4176945,Inflammatory disorder of cartilage,SNOMED,alternativeDiagnosis,Disease of interest
4145627,Biliary calculus,SNOMED,alternativeDiagnosis,Disease of interest
192956,Cholecystitis,SNOMED,alternativeDiagnosis,Disease of interest
4267297,Acute cholangitis,SNOMED,alternativeDiagnosis,Disease of interest
442077,Anxiety disorder,SNOMED,alternativeDiagnosis,Disease of interest
436339,Bacterial infection caused by Klebsiella pneumoniae,SNOMED,alternativeDiagnosis,Disease of interest
4231983,Infection caused by Mycoplasma pneumoniae,SNOMED,alternativeDiagnosis,Disease of interest
43020424,Hypertensive emergency,SNOMED,alternativeDiagnosis,Disease of interest
4034235,Tight chest,SNOMED,symptoms,Disease of interest
4090431,Discomfort,SNOMED,symptoms,Disease of interest
439418,Indigestion,SNOMED,symptoms,Disease of interest
194491,Tenderness of epigastric region,SNOMED,symptoms,Disease of interest
4041664,Difficulty breathing,SNOMED,symptoms,Disease of interest
4203638,Excessive sweating,SNOMED,symptoms,Disease of interest
4181178,Night sweats,SNOMED,symptoms,Disease of interest
4059005,Sweating symptom,SNOMED,symptoms,Disease of interest
31967,Nausea,SNOMED,symptoms,Disease of interest
4101344,Finding of vomiting,SNOMED,symptoms,Disease of interest
315078,Palpitations,SNOMED,symptoms,Disease of interest
4263255,Irregular heart beat,SNOMED,symptoms,Disease of interest
4223659,Fatigue,SNOMED,symptoms,Disease of interest
4223938,Dizziness,SNOMED,symptoms,Disease of interest
4229392,Giddiness,SNOMED,symptoms,Disease of interest
441542,Anxiety,SNOMED,symptoms,Disease of interest
444070,Tachycardia,SNOMED,symptoms,Disease of interest
4272240,Malaise,SNOMED,symptoms,Disease of interest
4329041,Pain,SNOMED,symptoms,Disease of interest
376961,Disturbance of consciousness,SNOMED,symptoms,Disease of interest
4034235,Tight chest,SNOMED,symptoms,Alternative diagnoses
439418,Indigestion,SNOMED,symptoms,Alternative diagnoses
4041664,Difficulty breathing,SNOMED,symptoms,Alternative diagnoses
315078,Palpitations,SNOMED,symptoms,Alternative diagnoses
4223938,Dizziness,SNOMED,symptoms,Alternative diagnoses
4090431,Discomfort,SNOMED,symptoms,Alternative diagnoses
4229392,Giddiness,SNOMED,symptoms,Alternative diagnoses
4203638,Excessive sweating,SNOMED,symptoms,Alternative diagnoses
4181178,Night sweats,SNOMED,symptoms,Alternative diagnoses
4059005,Sweating symptom,SNOMED,symptoms,Alternative diagnoses
31967,Nausea,SNOMED,symptoms,Alternative diagnoses
4101344,Finding of vomiting,SNOMED,symptoms,Alternative diagnoses
254761,Cough,SNOMED,symptoms,Alternative diagnoses
4011766,Feeling feverish,SNOMED,symptoms,Alternative diagnoses
441542,Anxiety,SNOMED,symptoms,Alternative diagnoses
436817,Feeling nervous,SNOMED,symptoms,Alternative diagnoses
316814,Hyperventilation,SNOMED,symptoms,Alternative diagnoses
4086746,Feeling agitated,SNOMED,symptoms,Alternative diagnoses
79908,Muscle weakness,SNOMED,symptoms,Alternative diagnoses
4223659,Fatigue,SNOMED,symptoms,Alternative diagnoses
46271381,Digestive system reflux,SNOMED,symptoms,Alternative diagnoses
4147190,Gastrointestinal symptom,SNOMED,symptoms,Alternative diagnoses
4023572,Abdominal bloating,SNOMED,symptoms,Alternative diagnoses
4152351,"Abdominal distension, gaseous",SNOMED,symptoms,Alternative diagnoses
194475,Hiccoughs,SNOMED,symptoms,Alternative diagnoses
4329041,Pain,SNOMED,symptoms,Alternative diagnoses
376961,Disturbance of consciousness,SNOMED,symptoms,Alternative diagnoses
4272240,Malaise,SNOMED,symptoms,Alternative diagnoses
433596,Abnormal sputum,SNOMED,symptoms,Alternative diagnoses
314754,Wheezing,SNOMED,symptoms,Alternative diagnoses
4047791,Abnormal body temperature,SNOMED,symptoms,Alternative diagnoses
377091,Seizure,SNOMED,symptoms,Alternative diagnoses
4187507,Psychomotor agitation,SNOMED,symptoms,Alternative diagnoses
4143065,Involuntary movement,SNOMED,symptoms,Alternative diagnoses
4164648,Slowness and poor responsiveness,SNOMED,symptoms,Alternative diagnoses
4114624,Coordination problem,SNOMED,symptoms,Alternative diagnoses
36714126,Difficulty walking,SNOMED,symptoms,Alternative diagnoses
441417,Incoordination,SNOMED,symptoms,Alternative diagnoses
4310235,Reduced mobility,SNOMED,symptoms,Alternative diagnoses
432436,Symbolic dysfunction,SNOMED,symptoms,Alternative diagnoses
4092743,Unsteady when standing,SNOMED,symptoms,Alternative diagnoses
75860,Constipation,SNOMED,symptoms,Alternative diagnoses
1112807,aspirin,RxNorm,drugs,Disease of interest
1322184,clopidogrel,RxNorm,drugs,Disease of interest
40163718,prasugrel,RxNorm,drugs,Disease of interest
40241186,ticagrelor,RxNorm,drugs,Disease of interest
1302398,ticlopidine,RxNorm,drugs,Disease of interest
46275677,cangrelor,RxNorm,drugs,Disease of interest
19047423,abciximab,RxNorm,drugs,Disease of interest
1322199,eptifibatide,RxNorm,drugs,Disease of interest
19017067,tirofiban,RxNorm,drugs,Disease of interest
1367571,heparin,RxNorm,drugs,Disease of interest
35884360,Heparin Sodium,RxNorm Extension,drugs,Disease of interest
1301025,enoxaparin,RxNorm,drugs,Disease of interest
1301065,dalteparin,RxNorm,drugs,Disease of interest
1315865,fondaparinux,RxNorm,drugs,Disease of interest
19084670,bivalirudin,RxNorm,drugs,Disease of interest
1310149,warfarin,RxNorm,drugs,Disease of interest
1347450,alteplase,RxNorm,drugs,Disease of interest
19024191,reteplase,RxNorm,drugs,Disease of interest
19136187,streptokinase,RxNorm,drugs,Disease of interest
19098548,tenecteplase,RxNorm,drugs,Disease of interest
1353766,propranolol,RxNorm,drugs,Disease of interest
1307046,metoprolol,RxNorm,drugs,Disease of interest
1314002,atenolol,RxNorm,drugs,Disease of interest
1338005,bisoprolol,RxNorm,drugs,Disease of interest
1346823,carvedilol,RxNorm,drugs,Disease of interest
902427,timolol,RxNorm,drugs,Disease of interest
19063575,esmolol,RxNorm,drugs,Disease of interest
1340128,captopril,RxNorm,drugs,Disease of interest
1341927,enalapril,RxNorm,drugs,Disease of interest
1308216,lisinopril,RxNorm,drugs,Disease of interest
1334456,ramipril,RxNorm,drugs,Disease of interest
1342001,enalaprilat,RxNorm,drugs,Disease of interest
1335471,benazepril,RxNorm,drugs,Disease of interest
1331235,quinapril,RxNorm,drugs,Disease of interest
1373225,perindopril,RxNorm,drugs,Disease of interest
1363749,fosinopril,RxNorm,drugs,Disease of interest
1342439,trandolapril,RxNorm,drugs,Disease of interest
1347384,irbesartan,RxNorm,drugs,Disease of interest
1367500,losartan,RxNorm,drugs,Disease of interest
1308842,valsartan,RxNorm,drugs,Disease of interest
1351557,candesartan,RxNorm,drugs,Disease of interest
1317640,telmisartan,RxNorm,drugs,Disease of interest
40226742,olmesartan,RxNorm,drugs,Disease of interest
1346686,eprosartan,RxNorm,drugs,Disease of interest
40235485,azilsartan,RxNorm,drugs,Disease of interest
970250,spironolactone,RxNorm,drugs,Disease of interest
1309799,eplerenone,RxNorm,drugs,Disease of interest
1545958,atorvastatin,RxNorm,drugs,Disease of interest
1539403,simvastatin,RxNorm,drugs,Disease of interest
1510813,rosuvastatin,RxNorm,drugs,Disease of interest
1526475,ezetimibe,RxNorm,drugs,Disease of interest
1551860,pravastatin,RxNorm,drugs,Disease of interest
1592085,lovastatin,RxNorm,drugs,Disease of interest
1549686,fluvastatin,RxNorm,drugs,Disease of interest
40165636,pitavastatin,RxNorm,drugs,Disease of interest
1361711,nitroglycerin,RxNorm,drugs,Disease of interest
1383925,isosorbide dinitrate,RxNorm,drugs,Disease of interest
1383815,isosorbide,RxNorm,drugs,Disease of interest
1110410,morphine,RxNorm,drugs,Disease of interest
1154029,fentanyl,RxNorm,drugs,Disease of interest
19113045,heparinoids,RxNorm,drugs,Disease of interest
1337720,dobutamine,RxNorm,drugs,Disease of interest
1126658,hydromorphone,RxNorm,drugs,Disease of interest
40241331,rivaroxaban,RxNorm,drugs,Disease of interest
1309944,amiodarone,RxNorm,drugs,Disease of interest
1328165,diltiazem,RxNorm,drugs,Disease of interest
1370109,sotalol,RxNorm,drugs,Disease of interest
1319998,acebutolol,RxNorm,drugs,Disease of interest
1314577,nebivolol,RxNorm,drugs,Disease of interest
932745,bumetanide,RxNorm,drugs,Disease of interest
942350,torsemide,RxNorm,drugs,Disease of interest
1307542,mexiletine,RxNorm,drugs,Disease of interest
46275719,sacubitril,RxNorm,drugs,Disease of interest
1551803,fenofibrate,RxNorm,drugs,Disease of interest
1560305,omega-3 acid ethyl esters (USP),RxNorm,drugs,Disease of interest
37499009,bempedoic acid,RxNorm,drugs,Disease of interest
46275447,alirocumab,RxNorm,drugs,Disease of interest
46287466,evolocumab,RxNorm,drugs,Disease of interest
42874246,icosapent ethyl,RxNorm,drugs,Disease of interest
1112807,aspirin,RxNorm,drugs,Alternative diagnoses
1322184,clopidogrel,RxNorm,drugs,Alternative diagnoses
40241186,ticagrelor,RxNorm,drugs,Alternative diagnoses
40163718,prasugrel,RxNorm,drugs,Alternative diagnoses
1302398,ticlopidine,RxNorm,drugs,Alternative diagnoses
1367571,heparin,RxNorm,drugs,Alternative diagnoses
19069137,bemiparin,RxNorm,drugs,Alternative diagnoses
35829525,Heparin Sodium Injectable Solution,RxNorm Extension,drugs,Alternative diagnoses
1301025,enoxaparin,RxNorm,drugs,Alternative diagnoses
1301065,dalteparin,RxNorm,drugs,Alternative diagnoses
1308473,tinzaparin,RxNorm,drugs,Alternative diagnoses
1310149,warfarin,RxNorm,drugs,Alternative diagnoses
43013024,apixaban,RxNorm,drugs,Alternative diagnoses
45892847,edoxaban,RxNorm,drugs,Alternative diagnoses
40241331,rivaroxaban,RxNorm,drugs,Alternative diagnoses
40228152,dabigatran etexilate,RxNorm,drugs,Alternative diagnoses
19113045,heparinoids,RxNorm,drugs,Alternative diagnoses
1347450,alteplase,RxNorm,drugs,Alternative diagnoses
19024191,reteplase,RxNorm,drugs,Alternative diagnoses
19005977,tenecteplase 50 MG Injection [Tnkase],RxNorm,drugs,Alternative diagnoses
19136187,streptokinase,RxNorm,drugs,Alternative diagnoses
19017067,tirofiban,RxNorm,drugs,Alternative diagnoses
1361711,nitroglycerin,RxNorm,drugs,Alternative diagnoses
1383925,isosorbide dinitrate,RxNorm,drugs,Alternative diagnoses
1307046,metoprolol,RxNorm,drugs,Alternative diagnoses
1314002,atenolol,RxNorm,drugs,Alternative diagnoses
1346823,carvedilol,RxNorm,drugs,Alternative diagnoses
1353766,propranolol,RxNorm,drugs,Alternative diagnoses
19063575,esmolol,RxNorm,drugs,Alternative diagnoses
1386957,labetalol,RxNorm,drugs,Alternative diagnoses
1322081,betaxolol,RxNorm,drugs,Alternative diagnoses
1313200,nadolol,RxNorm,drugs,Alternative diagnoses
1345858,pindolol,RxNorm,drugs,Alternative diagnoses
1341927,enalapril,RxNorm,drugs,Alternative diagnoses
1342001,enalaprilat,RxNorm,drugs,Alternative diagnoses
1340128,captopril,RxNorm,drugs,Alternative diagnoses
1334456,ramipril,RxNorm,drugs,Alternative diagnoses
1545958,atorvastatin,RxNorm,drugs,Alternative diagnoses
1510813,rosuvastatin,RxNorm,drugs,Alternative diagnoses
1526475,ezetimibe,RxNorm,drugs,Alternative diagnoses
1539403,simvastatin,RxNorm,drugs,Alternative diagnoses
1592085,lovastatin,RxNorm,drugs,Alternative diagnoses
1328165,diltiazem,RxNorm,drugs,Alternative diagnoses
1307863,verapamil,RxNorm,drugs,Alternative diagnoses
1318853,nifedipine,RxNorm,drugs,Alternative diagnoses
19020994,nitroprusside,RxNorm,drugs,Alternative diagnoses
1177480,ibuprofen,RxNorm,drugs,Alternative diagnoses
1178663,indomethacin,RxNorm,drugs,Alternative diagnoses
1101554,colchicine,RxNorm,drugs,Alternative diagnoses
1551099,prednisone,RxNorm,drugs,Alternative diagnoses
1506270,methylprednisolone,RxNorm,drugs,Alternative diagnoses
923645,omeprazole,RxNorm,drugs,Alternative diagnoses
904453,esomeprazole,RxNorm,drugs,Alternative diagnoses
929887,lansoprazole,RxNorm,drugs,Alternative diagnoses
948078,pantoprazole,RxNorm,drugs,Alternative diagnoses
911735,rabeprazole,RxNorm,drugs,Alternative diagnoses
43009052,ilaprazole,RxNorm Extension,drugs,Alternative diagnoses
19039926,dexlansoprazole,RxNorm,drugs,Alternative diagnoses
961047,ranitidine,RxNorm,drugs,Alternative diagnoses
953076,famotidine,RxNorm,drugs,Alternative diagnoses
997276,cimetidine,RxNorm,drugs,Alternative diagnoses
950696,nizatidine,RxNorm,drugs,Alternative diagnoses
1110410,morphine,RxNorm,drugs,Alternative diagnoses
1126658,hydromorphone,RxNorm,drugs,Alternative diagnoses
1154029,fentanyl,RxNorm,drugs,Alternative diagnoses
1124957,oxycodone,RxNorm,drugs,Alternative diagnoses
1125765,oxymorphone,RxNorm,drugs,Alternative diagnoses
1746114,piperacillin,RxNorm,drugs,Alternative diagnoses
1777806,ceftriaxone,RxNorm,drugs,Alternative diagnoses
1749008,cefpodoxime,RxNorm,drugs,Alternative diagnoses
1707164,metronidazole,RxNorm,drugs,Alternative diagnoses
1797513,ciprofloxacin,RxNorm,drugs,Alternative diagnoses
1713332,amoxicillin,RxNorm,drugs,Alternative diagnoses
1734104,azithromycin,RxNorm,drugs,Alternative diagnoses
1750500,clarithromycin,RxNorm,drugs,Alternative diagnoses
1738521,doxycycline,RxNorm,drugs,Alternative diagnoses
1742253,levofloxacin,RxNorm,drugs,Alternative diagnoses
1716903,moxifloxacin,RxNorm,drugs,Alternative diagnoses
1728416,penicillin G,RxNorm,drugs,Alternative diagnoses
791967,lorazepam,RxNorm,drugs,Alternative diagnoses
781039,alprazolam,RxNorm,drugs,Alternative diagnoses
723013,diazepam,RxNorm,drugs,Alternative diagnoses
19125106,medazepam,RxNorm,drugs,Alternative diagnoses
798874,clonazepam,RxNorm,drugs,Alternative diagnoses
19020021,nitrazepam,RxNorm,drugs,Alternative diagnoses
739138,sertraline,RxNorm,drugs,Alternative diagnoses
722031,paroxetine,RxNorm,drugs,Alternative diagnoses
755695,fluoxetine,RxNorm,drugs,Alternative diagnoses
797617,citalopram,RxNorm,drugs,Alternative diagnoses
715939,escitalopram,RxNorm,drugs,Alternative diagnoses
743670,venlafaxine,RxNorm,drugs,Alternative diagnoses
715259,duloxetine,RxNorm,drugs,Alternative diagnoses
733301,buspirone,RxNorm,drugs,Alternative diagnoses
1335606,disopyramide,RxNorm,drugs,Alternative diagnoses
708298,midazolam,RxNorm,drugs,Alternative diagnoses
1318137,nicardipine,RxNorm,drugs,Alternative diagnoses
19084670,bivalirudin,RxNorm,drugs,Alternative diagnoses
1383815,isosorbide,RxNorm,drugs,Alternative diagnoses
46275677,cangrelor,RxNorm,drugs,Alternative diagnoses
1322199,eptifibatide,RxNorm,drugs,Alternative diagnoses
1337720,dobutamine,RxNorm,drugs,Alternative diagnoses
1707687,vancomycin,RxNorm,drugs,Alternative diagnoses
1315865,fondaparinux,RxNorm,drugs,Alternative diagnoses
956874,furosemide,RxNorm,drugs,Alternative diagnoses
1748975,cefepime,RxNorm,drugs,Alternative diagnoses
1776684,ceftazidime,RxNorm,drugs,Alternative diagnoses
1736887,linezolid,RxNorm,drugs,Alternative diagnoses
1709170,meropenem,RxNorm,drugs,Alternative diagnoses
1338005,bisoprolol,RxNorm,drugs,Alternative diagnoses
1332418,amlodipine,RxNorm,drugs,Alternative diagnoses
1335471,benazepril,RxNorm,drugs,Alternative diagnoses
1308216,lisinopril,RxNorm,drugs,Alternative diagnoses
1314577,nebivolol,RxNorm,drugs,Alternative diagnoses
1717327,ampicillin,RxNorm,drugs,Alternative diagnoses
902427,timolol,RxNorm,drugs,Alternative diagnoses
1319998,acebutolol,RxNorm,drugs,Alternative diagnoses
1551860,pravastatin,RxNorm,drugs,Alternative diagnoses
37499009,bempedoic acid,RxNorm,drugs,Alternative diagnoses
1551803,fenofibrate,RxNorm,drugs,Alternative diagnoses
40165636,pitavastatin,RxNorm,drugs,Alternative diagnoses
46275447,alirocumab,RxNorm,drugs,Alternative diagnoses
46287466,evolocumab,RxNorm,drugs,Alternative diagnoses
1125315,acetaminophen,RxNorm,drugs,Alternative diagnoses
1174888,hydrocodone,RxNorm,drugs,Alternative diagnoses
1136980,ketorolac,RxNorm,drugs,Alternative diagnoses
1103314,tramadol,RxNorm,drugs,Alternative diagnoses
1124300,diclofenac,RxNorm,drugs,Alternative diagnoses
1150345,meloxicam,RxNorm,drugs,Alternative diagnoses
1115008,naproxen,RxNorm,drugs,Alternative diagnoses
1236607,sulindac,RxNorm,drugs,Alternative diagnoses
1778162,cefuroxime,RxNorm,drugs,Alternative diagnoses
1759842,clavulanate,RxNorm,drugs,Alternative diagnoses
1201620,codeine,RxNorm,drugs,Alternative diagnoses
1195492,etodolac,RxNorm,drugs,Alternative diagnoses
903963,triamcinolone,RxNorm,drugs,Alternative diagnoses
906780,metoclopramide,RxNorm,drugs,Alternative diagnoses
1036228,sucralfate,RxNorm,drugs,Alternative diagnoses
1836948,tetracycline,RxNorm,drugs,Alternative diagnoses
1786621,cephalexin,RxNorm,drugs,Alternative diagnoses
997881,clindamycin,RxNorm,drugs,Alternative diagnoses
1717963,ertapenem,RxNorm,drugs,Alternative diagnoses
1768849,cefaclor,RxNorm,drugs,Alternative diagnoses
1774470,cefotaxime,RxNorm,drugs,Alternative diagnoses
725131,mirtazapine,RxNorm,drugs,Alternative diagnoses
1796458,cefdinir,RxNorm,drugs,Alternative diagnoses
1747005,cefditoren,RxNorm,drugs,Alternative diagnoses
1136601,benzonatate,RxNorm,drugs,Alternative diagnoses
1716721,gemifloxacin,RxNorm,drugs,Alternative diagnoses
1156378,flurbiprofen,RxNorm,drugs,Alternative diagnoses
1789276,gatifloxacin,RxNorm,drugs,Alternative diagnoses
923081,ofloxacin,RxNorm,drugs,Alternative diagnoses
1550557,prednisolone,RxNorm,drugs,Alternative diagnoses
1729720,penicillin V,RxNorm,drugs,Alternative diagnoses
790253,clorazepate,RxNorm,drugs,Alternative diagnoses
721724,nortriptyline,RxNorm,drugs,Alternative diagnoses
717607,desvenlafaxine,RxNorm,drugs,Alternative diagnoses
44507700,vortioxetine,RxNorm,drugs,Alternative diagnoses
710062,amitriptyline,RxNorm,drugs,Alternative diagnoses
716968,desipramine,RxNorm,drugs,Alternative diagnoses
40226742,olmesartan,RxNorm,drugs,Alternative diagnoses
1317640,telmisartan,RxNorm,drugs,Alternative diagnoses
4163951,Electrocardiographic procedure,SNOMED,diagnosticProcedures,Disease of interest
4148369,Angiocardiography,SNOMED,diagnosticProcedures,Disease of interest
4223020,Cardiac catheterization,SNOMED,diagnosticProcedures,Disease of interest
2007079,Electrographic monitoring,ICD9Proc,diagnosticProcedures,Disease of interest
4062856,Examination for suspected cardiovascular disease,SNOMED,diagnosticProcedures,Disease of interest
42738801,"Imaging supervision, interpretation and report for injection procedure(s) during cardiac catheterization; pulmonary angiography, aortography, and/or selective coronary angiography including venous bypass grafts and arterial conduits (wheth... (Deprecated)",CPT4,diagnosticProcedures,Disease of interest
42738800,"Imaging supervision, interpretation and report for injection procedure(s) during cardiac catheterization; ventricular and/or atrial angiography (Deprecated)",CPT4,diagnosticProcedures,Disease of interest
42734805,Injection procedure during cardiac catheterization; for selective coronary angiography (injection of radiopaque material may be by hand) (Deprecated),CPT4,diagnosticProcedures,Disease of interest
42734804,Injection procedure during cardiac catheterization; for selective left ventricular or left atrial angiography (Deprecated),CPT4,diagnosticProcedures,Disease of interest
42738799,"Injection procedure during cardiac catheterization; for selective opacification of aortocoronary venous bypass grafts, one or more coronary arteries (Deprecated)",CPT4,diagnosticProcedures,Disease of interest
42738798,"Injection procedure during cardiac catheterization; for selective opacification of arterial conduits (eg, internal mammary), whether native or used for bypass (Deprecated)",CPT4,diagnosticProcedures,Disease of interest
42734803,Injection procedure during cardiac catheterization; for selective right ventricular or right atrial angiography (Deprecated),CPT4,diagnosticProcedures,Disease of interest
2786741,"Measurement of Cardiac Electrical Activity, External Approach",ICD10PCS,diagnosticProcedures,Disease of interest
2786744,"Measurement of Cardiac Rhythm, External Approach",ICD10PCS,diagnosticProcedures,Disease of interest
4296597,Cardiovascular stress testing,SNOMED,diagnosticProcedures,Alternative diagnoses
4020359,Biopsy of pericardium,SNOMED,diagnosticProcedures,Alternative diagnoses
4057804,Biopsy of heart,SNOMED,diagnosticProcedures,Alternative diagnoses
42738689,"Esophagus, acid reflux test, with intraluminal pH electrode for detection of gastroesophageal reflux; prolonged recording (Deprecated)",CPT4,diagnosticProcedures,Alternative diagnoses
2313614,"Esophagus, gastroesophageal reflux test; with mucosal attached telemetry pH electrode placement, recording, analysis and interpretation",CPT4,diagnosticProcedures,Alternative diagnoses
2313613,"Esophagus, gastroesophageal reflux test; with nasal catheter pH electrode(s) placement, recording, analysis and interpretation",CPT4,diagnosticProcedures,Alternative diagnoses
2006700,Other chest x-ray,ICD9Proc,diagnosticProcedures,Alternative diagnoses
3049950,XR Chest Single view,LOINC,diagnosticProcedures,Alternative diagnoses
2792810,Plain Radiography of Chest,ICD10PCS,diagnosticProcedures,Alternative diagnoses
3052492,XR Chest AP,LOINC,diagnosticProcedures,Alternative diagnoses
3046366,CT Abdomen and Pelvis,LOINC,diagnosticProcedures,Alternative diagnoses
42742553,"Hepatobiliary system imaging, including gallbladder when present; with pharmacologic intervention, including quantitative measurement(s) when performed",CPT4,diagnosticProcedures,Alternative diagnoses
4292405,Collection of sputum,SNOMED,diagnosticProcedures,Alternative diagnoses
2007191,"Microscopic examination of blood, culture",ICD9Proc,diagnosticProcedures,Alternative diagnoses
4163951,Electrocardiographic procedure,SNOMED,diagnosticProcedures,Alternative diagnoses
4202517,Endoscopic biopsy,SNOMED,diagnosticProcedures,Alternative diagnoses
4039376,Gastrointestinal tract endoscopy,SNOMED,diagnosticProcedures,Alternative diagnoses
709983,"Radiologic examination, esophagus, including scout chest radiograph(s) and delayed image(s), when performed; double-contrast (eg, high-density barium and effervescent agent) study",CPT4,diagnosticProcedures,Alternative diagnoses
2007079,Electrographic monitoring,ICD9Proc,diagnosticProcedures,Alternative diagnoses
2786741,"Measurement of Cardiac Electrical Activity, External Approach",ICD10PCS,diagnosticProcedures,Alternative diagnoses
2786744,"Measurement of Cardiac Rhythm, External Approach",ICD10PCS,diagnosticProcedures,Alternative diagnoses
3031563,CT Abdomen and Pelvis WO and W contrast IV,LOINC,diagnosticProcedures,Alternative diagnoses
42737947,Cardiac magnetic resonance imaging for morphology; without contrast material (Deprecated),CPT4,diagnosticProcedures,Alternative diagnoses
40757025,"Combined right and left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging supervision and interpretation, when performed",CPT4,diagnosticProcedures,Alternative diagnoses
42739616,"Coronal, sagittal, multiplanar, oblique, 3-dimensional and/or holographic reconstruction of computerized axial tomography, magnetic resonance imaging, or other tomographic modality (Deprecated)",CPT4,diagnosticProcedures,Alternative diagnoses
2313879,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",CPT4,diagnosticProcedures,Alternative diagnoses
2313880,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)",CPT4,diagnosticProcedures,Alternative diagnoses
42738801,"Imaging supervision, interpretation and report for injection procedure(s) during cardiac catheterization; pulmonary angiography, aortography, and/or selective coronary angiography including venous bypass grafts and arterial conduits (wheth... (Deprecated)",CPT4,diagnosticProcedures,Alternative diagnoses
